,WordText,CategoryLabel
0,the Prevention of Arms Race Act,383
1,2018,391
2,Congress,383
3,Senate,383
4,United States,384
5,"500 and 5,500 kilometers",395
6,Defense,383
7,State,383
8,National Intelligence,383
9,the Prenatal Nondiscrimination Act,383
10,2017,391
11,American,381
12,the United States,384
13,46,397
14,March 2008,391
15,the National Academy of Sciences,383
16,Columbia University,383
17,Douglas Almond,380
18,Lena Edlund,380
19,March 2006,391
20,Zogby International,383
21,86 percent,393
22,Americans,381
23,only eight,397
24,States,381
25,2012,391
26,the Charlotte Lozier Institute,383
27,77 percent,393
28,Congressional,381
29,the Communist Government of Chinato,383
30,1990,391
31,Harvard University,383
32,Amartya Sen,380
33,more than 100 million,397
34,the Republic of India,384
35,the United Kingdom,384
36,the People’s Republic of China,383
37,The American Congress of Obstetricians and Gynecologists,383
38,one,397
39,first,396
40,the American Association of Pro-Life Obstetricians,383
41,Gynecologists,381
42,One-third,397
43,South Asian,381
44,Walter Astrada,380
45,Indian,381
46,Forty percent,393
47,89 percent,393
48,100 percent,393
49,Tony Falconer,380
50,the Royal College of Obstetrics and Gynaecology,383
51,the University of California,383
52,two,397
53,three,397
54,four,397
55,the American Eugenics Society,383
56,"450,000",397
57,Black Americans,381
58,each year,391
59,the Alan Guttmacher Institute,383
60,Planned Parenthood,383
61,the National Vital Statistics,383
62,annual,391
63,from year to year,391
64,2005.Only one,397
65,Arizona,384
66,African-Americans,381
67,Chapter 13,390
68,section;a,383
69,VI of,386
70,the Civil Rights Act,390
71,1964,391
72,601,397
73,more than 1 year,391
74,the Supreme Court,383
75,Constitution,390
76,1,397
77,the Firearm Act,390
78,the Federal Government,383
79,the Fair Pay Act,390
80,section 8,390
81,the Fair Labor Standards Act,390
82,1938,391
83,29 U.S.C. 201,394
84,29 U.S.C. 206,394
85,Section 13(a,390
86,29,397
87,6(d)sections 6,397
88,Section 15(a,391
89,Section 16(b,390
90,Section 16(c,390
91,section 6(h,390
92,the Federal Rules of Civil Procedure,390
93,Section 11(c,383
94,4(d,397
95,203(a)(1,397
96,1995,391
97,6subsections,397
98,6by,396
99,206,397
100,d)206,397
101,section 16(f,390
102,3,397
103,United States Code,383
104,2(a,397
105,the Presidential and Executive Office Accountability Act (Public Law 104–331subsections,383
106,6,397
107,Act,390
108,1 year,391
109,the Research to Accelerate Cures and Equity for Children ActRACE for Children Act,383
110,Section 505B,390
111,"the Federal Food, Drug",383
112,section 505B(e)(2)(C,390
113,21,397
114,Federal Regulations,383
115,30 days,391
116,later than 90 calendar days,391
117,a)(4,383
118,2,397
119,2)(C)(i)meeting,397
120,2)(C)(i)(II,397
121,Orphan,384
122,later than 1 year,391
123,Health and Human Services,383
124,505,397
125,21 U.S.C. 35542,394
126,262,397
127,the FDA Safety and Innovation Act,383
128,section 505A,390
129,21 U.S.C. 355a,394
130,21 U.S.C.,394
131,120 days,391
132,21 U.S.C. 355d21 U.S.C.,394
133,6(d,397
134,the Best Pharmaceuticals for Children Act,383
135,5-year,391
136,the Protect American Families,383
137,Unnecessary Registration and Deportation,383
138,2017Protect,397
139,263,397
140,265,397
141,266,397
142,1303,391
143,Veterans,381
144,2017Housing,397
145,Housing and Urban Development,383
146,561,397
147,the Housing and Community Development Act,383
148,1987,391
149,42 U.S.C. 3616a(h,394
150,42 U.S.C. 3616a42 U.S.C. 3602,394
151,15 U.S.C. 1601,391
152,180-day,391
153,section 553,390
154,5,397
155,Authorization of Appropriations,383
156,"15,000,000",394
157,each of fiscal years 2018,391
158,2022,391
159,the Fair Housing Initiatives Program,383
160,42,397
161,"42,500,000",394
162,each of fiscal years 2015 through 2019,391
163,less than 75 percent,393
164,more than 10 percent,393
165,any of fiscal years 2015 through 2019,391
166,the Fair Housing Act,390
167,42 U.S.C. 3608(e)42,394
168,"5,000,000",394
169,this Act,390
170,the Office of Management and Budget,383
171,the Study of Underrepresented Classes Chasing Engineering and,383
172,Science Success Act,386
173,the Small Business Administration,383
174,Commerce for Intellectual Property,383
175,the United States Patent and Trademark Office,383
176,later than 6 months,391
177,the Committee on Small Business of the House of Representatives,383
178,the Committee on Small Business and Entrepreneurship,383
179,637(a)(6)(A,397
180,individuals15 U.S.C.,384
181,637(d)(3)(C,397
182,637(a)(5,397
183,the Hidden Figures Congressional Gold Medal Act,383
184,the House of Representatives,383
185,4,397
186,Treasury,383
187,Smithsonian Institution,383
188,Dorothy Vaughan,380
189,the Smithsonian Institution,383
190,the National Museum of African American History,383
191,Culture,381
192,Mary Jackson,380
193,a)(3)(B,383
194,chapter 51,390
195,5134,391
196,5136,397
197,31,397
198,the United States Mint Public Enterprise Fund,383
199,section 4,390
200,Congressional Gold Medals,383
201,Wanda Jackson,380
202,the Omnibus Crime Control,383
203,1968,391
204,34,397
205,10101,391
206,Grants,383
207,National Pretrial Reporting Program,383
208,48 hours,392
209,monthly,391
210,each fiscal year,391
211,fiscal year 2018,391
212,34 U.S.C.,391
213,the third fiscal year beginning,391
214,the No Money Bail Act,383
215,GAO,383
216,later than 3 years,391
217,the Comptroller General,383
218,the Equality Act,390
219,Findings,380
220,42 U.S.C.,391
221,2000a,391
222,202,397
223,Title II,386
224,2000b(a)sex,394
225,42 U.S.C. 2000c(b,394
226,42 U.S.C. 2000c–6,394
227,410,397
228,section 701,390
229,2000e,391
230,1106,391
231,703,397
232,Section 704(b,390
233,2000e–3(b,397
234,2000e–5(g)(2)(A,397
235,Federal Government,383
236,42 U.S.C. 2000e–16,394
237,1991,391
238,1107,391
239,1301,391
240,section 201,390
241,1978,391
242,Chapter 23,390
243,II,383
244,III,383
245,VI,383
246,anda,380
247,1101,391
248,1979,391
249,1980,391
250,the Revised Statutes,386
251,1983,391
252,The Religious Freedom Restoration Act,387
253,1993,391
254,section 901,390
255,901,397
256,section 802 of this Act,390
257,section 802,390
258,the Equal Credit Opportunity Act,383
259,15,397
260,702,397
261,1691a,391
262,Chapter 121,390
263,the National Opposition to Hate,383
264,Assault,383
265,Threats,381
266,2017NO,397
267,the National Incident-Based Reporting System,387
268,each fiscal year beginning,391
269,3 years,391
270,the Uniform Crime Reporting,383
271,the preceding fiscal year,391
272,Extensions,383
273,120-day,391
274,more than 5 years,391
275,Hotline,383
276,section 2 of the Thirteenth Amendment to the Constitution of,390
277,8,397
278,the Commerce Clause,383
279,Section 249,390
280,18,397
281,Donald John Trump,380
282,"August 15, 2017",391
283,anti-Semites,381
284,Ku Klux Klansmen,380
285,Charlottesville,384
286,Virginia,384
287,"August 7, 2017",391
288,Robert E. Lee,380
289,Confederate,383
290,"November 29, 2017",391
291,British,381
292,Muslims,381
293,Muslim,381
294,Dutch,381
295,Muslim Destroys a Statue of Virgin Mary,388
296,Islamist,381
297,"43,800,000",397
298,Twitter,386
299,Donald John Trump’s,380
300,Article II,390
301,"January 27, 2017",391
302,DONALD J. TRUMP STATEMENT ON PREVENTING MUSLIM IMMIGRATION,380
303,New York,384
304,NY,384
305,"December 7th, 2015",391
306,Donald J. Trump,380
307,"July 26, 2017",391
308,the United States Government,383
309,Transgender,383
310,the U.S. Military,383
311,"September 23, 2017",391
312,NFL,383
313,"September 30, 2017",391
314,"October 3, 2017",391
315,Puerto Rico,384
316,"October 19, 2017",391
317,The Fake News,383
318,Wilson,380
319,SECRETLY,383
320,"October 21, 2017",391
321,Wacky Congresswoman,380
322,"October 22, 2017",391
323,the Republican Party,383
324,Dems,381
325,R!In,384
326,42 U.S.C. 2000a,391
327,the Unpaid Intern Protection Act,383
328,State Immunity,383
329,701,397
330,42 U.S.C. 2000esection,394
331,11,397
332,1967,391
333,29 U.S.C. 630section 101,394
334,Intern,383
335,Statesection 701,390
336,29 U.S.C. 630section 4,394
337,12103,391
338,the Voting Rights Amendment Act,390
339,the Voting Rights Act,390
340,1965,391
341,52 U.S.C. 10302(c)violations,395
342,fifteenth,396
343,the 14th or 15th,391
344,"Federal, State",383
345,52,397
346,Determination of States and Political Subdivisions Subject to Section 4,383
347,Section 4(b,390
348,Determination of States and Political Subdivisions Subject to Requirements,383
349,previous 15 years,391
350,a calendar year,391
351,the previous 15 calendar years,391
352,at least one,397
353,January 1 of the year,391
354,10 years,391
355,1)(B,391
356,1)(B)(ii,397
357,section 3(c,390
358,section 5,390
359,more than 10,397
360,each calendar year,391
361,the previous calendar year,391
362,the previous year,391
363,Federal Register,383
364,13,397
365,the Federal Register,383
366,Federal officeThe term,383
367,Hispanic,381
368,Latino,380
369,18 years of age or,391
370,unlessin paragraph,384
371,second,396
372,7,397
373,8),397
374,Language Minority Groups,383
375,4(a)(1,397
376,52 U.S.C. 10303(a)(1)race,394
377,52 U.S.C. 10303(a)(5,394
378,52 U.S.C. 10301,391
379,Notice of Enacted Changes,383
380,Notice of Changes,383
381,180 days,391
382,later than 48 hours,392
383,the 30th day,391
384,hours,392
385,fewer than 48 hours,392
386,later than 10 days,391
387,18 years of age or older,391
388,"greater than 10,000",397
389,Section 3(a,390
390,60-day,391
391,Clarification of Authority,383
392,the 14th or 15th Amendment,391
393,10305(a,391
394,Language Minority Groups: Section 4(f,383
395,52 U.S.C.,391
396,10304,391
397,15 U.S.C. 1691,391
398,the Pretrial Integrity and Safety Act,383
399,3 fiscal years,391
400,more than 6,397
401,"more than $10,000,000",394
402,"more than $6,500,000",394
403,"more than $3,500,000",394
404,"more than $5,000,000",394
405,less than 95 percent,393
406,less than 85,397
407,later than 3 days,391
408,later than 7 days,391
409,data;includes,9191306739292312949
410,Limitations,383
411,any fiscal year,391
412,more than 2 percent,393
413,more than 25 percent,393
414,the Coast Guard Academy Improvement Act,383
415,the Coast Guard Academy,383
416,the United States Coast Guard Academy,384
417,Subtitle H,383
418,2002,391
419,6 U.S.C. 451,394
420,Coast Guard Academy,383
421,Academy,383
422,later than 60 days,391
423,Chair,381
424,later than 30 days,391
425,later than 90 days,391
426,the Federal Advisory Committee Act,383
427,5 U.S.C. App,394
428,later than 180 days,391
429,Commandant,383
430,the Committees on Homeland Security,383
431,Governmental Affairs and Commerce,383
432,Science,383
433,an additional year,391
434,one year,391
435,the Chief Human Capital Officer,383
436,the Coast Guard,383
437,section 182,390
438,14,397
439,section 890B,383
440,2021,391
441,annually,391
442,2031,391
443,90 days,391
444,890C.,397
445,section 1(b,390
446,later than one year,391
447,6 U.S.C. 411,394
448,Department,383
449,Half,397
450,the District of Columbia,384
451,the United States Virgin Islands,384
452,Resident,383
453,Guam,384
454,American Samoa,383
455,Resident Commissioner,380
456,less than 25 percent,393
457,182,397
458,Homeland Security,383
459,Coast Guard College Student Pre-Commissioning Initiative,383
460,Chapter 9,390
461,the Coast Guard the College Student Pre-Commissioning Initiative,383
462,Coast Guard,383
463,Officer Candidate School,383
464,each academic year,391
465,Coast Guard Academy Improvement Act,383
466,the College Student Pre-Commissioning Initiative,383
467,the Voting Rights Advancement Act,390
468,Section 2 of,390
469,42 U.S.C. 1973,391
470,Tribal,383
471,at least 6 months,391
472,less than 6 months,391
473,the same days,391
474,Indian Health Service,383
475,Bureau of Indian Affairs,383
476,State;a,383
477,section 203,390
478,the National Voter Registration Act,390
479,52 U.S.C. 20506,391
480,previous 25 years,391
481,the previous 25 calendar years,391
482,or10,380
483,203,397
484,9,397
485,Determination of States and Political Subdivisions Subject to Preclearance for Covered Practices: The Voting Rights Act,383
